"","plot_id","loc_name","long_in_degrees","lat_in_degrees","start_date","end_date","duration_in_days","duration_in_years","measurement_freq_in_mins","depth_in_m","temp_degC_percentage_missing_values","no_of_data","net_no_of_data","climate_classification","time_id","q_diurnal_a_mean","q_diurnal_gm_mean","q_diurnal_median","q_diurnal_ninetieth_perc","s_diurnal_a_mean","s_diurnal_gm_mean","s_diurnal_median","s_diurnal_ninetieth_perc","daily_a_mean","daily_gm_mean","daily_median","daily_ninetieth_perc","weekly_a_mean","weekly_gm_mean","weekly_median","weekly_ninetieth_perc","biweekly_a_mean","biweekly_gm_mean","biweekly_median","biweekly_ninetieth_perc","monthly_a_mean","monthly_gm_mean","monthly_median","monthly_ninetieth_perc"
"11","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_3",4.75596883956734e-08,4.02191678908316e-08,4.5134701e-08,7.99373426e-08,6.92912784259777e-08,6.26416189399828e-08,6.4622894e-08,1.104098905e-07,1.03936387530726e-07,9.79177339756478e-08,9.88347575e-08,1.463608784e-07,1.83333733918919e-07,1.71878786775815e-07,1.6512579e-07,2.508565388e-07,2.32238357894737e-07,2.16041601571128e-07,1.79793554e-07,3.546585858e-07,3.15351548333333e-07,2.99689215120334e-07,2.90621684e-07,4.216528068e-07
"12","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_4",6.09700382401289e-08,4.70422407788092e-08,4.8822827e-08,1.08970803e-07,8.40688219064516e-08,7.11282324883607e-08,7.30766325e-08,1.430720888e-07,1.15554084851613e-07,1.06128568808096e-07,1.032126945e-07,1.726781362e-07,1.96554712694444e-07,1.78370595332471e-07,1.61773267e-07,3.29637861e-07,2.37195819222222e-07,2.14096770256748e-07,1.925681355e-07,3.6031462e-07,3.07694524111111e-07,2.77186829652829e-07,2.35836756e-07,4.99045262e-07
"13","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_5",6.77985737730901e-08,6.03426693165691e-08,6.4402304e-08,1.07111981e-07,9.16854356788155e-08,8.39631554246417e-08,8.6692284e-08,1.400852978e-07,1.17618054909091e-07,1.11893429518667e-07,1.16297774e-07,1.647981976e-07,1.78167997e-07,1.72804101495865e-07,1.56346456e-07,2.239190719e-07,2.10227905333333e-07,2.04275009119286e-07,1.87997802e-07,2.741519275e-07,2.7341260625e-07,2.67215142253342e-07,2.946354145e-07,3.153207071e-07
"14","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_6",8.12944438497653e-08,7.57288539008775e-08,7.78430325e-08,1.191059865e-07,9.99365654366197e-08,9.56620920489825e-08,9.5195674e-08,1.40376469e-07,1.23029022113208e-07,1.19342450904911e-07,1.138759765e-07,1.75862957e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1.2","Belize, Stann Creek, Carrie Bow Cay",-88.082072,16.80127,"2000-03-03 16:10:00","2013-12-09 0:00:00",5028,13.776,10,2,52.8699867417965,724080,341259,"Tropical","1.2 - (a) - year_7",6.22582956964286e-08,5.62690380483057e-08,5.49913835e-08,9.70256085e-08,9.79085604345238e-08,9.19334696863026e-08,9.33257655e-08,1.39484913e-07,1.21390841176471e-07,1.16058864293992e-07,1.1485649e-07,1.683232016e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_1",2.75445624349315e-08,2.5008636612525e-08,2.3918896e-08,5.70726482e-08,5.17883987821918e-08,4.422341795732e-08,4.4452645e-08,9.06418171e-08,6.26955078379121e-08,5.47765418083915e-08,5.7195861e-08,1.04988319e-07,1.24584998423077e-07,1.16557201951247e-07,1.20814535e-07,1.839680888e-07,1.57366733846154e-07,1.48771191286593e-07,1.68472845e-07,2.0436016e-07,1.90889265583333e-07,1.85164049098263e-07,1.89978342e-07,2.460218998e-07
"17","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_12",5.67984996666667e-08,4.84172744288643e-08,4.8575433e-08,1.02712261e-07,7.27263986508475e-08,6.43589449823452e-08,6.4069775e-08,1.27180527e-07,8.70782926938776e-08,7.75535144142065e-08,7.6023793e-08,1.50633712e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_13",5.92342917975904e-08,5.08572447873307e-08,4.9028821e-08,1.0974444e-07,7.54168324182692e-08,6.78826226017937e-08,6.36518005e-08,1.33165742e-07,8.78673928190476e-08,7.92770090111421e-08,7.3449937e-08,1.476319782e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_2",3.53074616201859e-08,2.98040378339194e-08,2.9449515e-08,6.84907922e-08,6.13870922606383e-08,5.41934717306124e-08,5.5835685e-08,1.00508432e-07,7.65841324361702e-08,7.00889926765448e-08,7.0750778e-08,1.184543856e-07,1.20443205e-07,1.19923293981089e-07,1.20443205e-07,1.293863746e-07,1.31622167e-07,1.31622167e-07,1.31622167e-07,1.31622167e-07,1.84542239e-07,1.84542239e-07,1.84542239e-07,1.84542239e-07
"20","2.1","Belize, Stann Creek, Carrie Bow Cay",-88.079817,16.8009,"2000-03-04 21:30:00","2012-09-24 23:00:00",4587,12.567,10,2,53.1400161686383,660538,309528,"Tropical","2.1 - year_3",2.81920096637491e-08,2.57259985217495e-08,2.349019e-08,5.9445189e-08,5.28599502346939e-08,4.5435331978196e-08,4.4812817e-08,9.1466459e-08,6.41066400291545e-08,5.64474379966652e-08,5.8271562e-08,1.07737678e-07,1.34653960970588e-07,1.18553623625255e-07,1.054234635e-07,2.031877436e-07,1.87317476117647e-07,1.68344492447368e-07,1.38080898e-07,2.971413894e-07,2.65486223625e-07,2.51210651019429e-07,2.447205035e-07,3.5486694e-07
